inter core latency
  7512,  57.3, 113.8, 157.6, 162.4, 219.6, 275.5, 335.8, 331.9,
  8192,  28.5,  74.5, 132.0, 162.1, 219.4, 275.5, 334.0, 358.4,
  8933,  23.8,  86.6,  85.6, 130.6, 218.0, 273.9, 331.0, 336.7,
  9742,  20.4,  80.6,  94.5,  98.0, 217.4, 275.2, 331.0, 331.6,
 10624,  20.2,  73.3, 129.3, 103.8, 202.4, 274.5, 324.8, 325.3,
 11585,  20.2,  31.2,  87.6,  85.0, 165.1, 272.8, 330.2, 325.0,
 12634,  20.2,  30.5,  33.1,  39.5, 162.3, 258.1, 328.9, 324.8,
 13777,  20.2,  30.5,  32.2,  34.5, 151.6, 225.4, 321.3, 324.2,
 15024,  20.2,  30.8,  32.2,  32.3,  97.8, 217.7, 285.8, 322.6,
 16384,  20.1,  31.0,  32.1,  31.8,  90.2, 205.4, 251.0, 279.1,
 17867,  20.2,  30.5,  32.1,  31.7,  85.1, 183.8, 208.3, 218.8,
 19484,  20.2,  30.4,  32.1,  31.7,  85.4, 121.1, 174.4, 244.1,
 21247,  20.2,  30.9,  32.1,  31.7,  84.9,  97.7, 111.2, 151.9,
 23170,  20.2,  30.8,  32.1,  31.8,  84.7,  91.2, 100.5, 120.2,
 25268,  20.2,  30.4,  32.1,  31.7,  83.6,  80.7,  91.5,  42.6,
 27554,  20.2,  30.9,  32.1,  31.7,  77.0,  75.8,  38.5,  37.0,
 30048,  20.2,  30.8,  32.1,  31.6,  71.0,  71.6,  35.3,  34.7,
 32768,  20.1,  30.9,  32.1,  31.6,  66.9,  38.6,  34.1,  33.6,
 35734,  19.6,  30.3,  32.1,  31.6,  51.0,  36.9,  34.1,  33.4,
 38968,  19.4,  30.7,  32.1,  31.6,  46.1,  34.3,  33.6,  33.4,
 42495,  20.0,  30.9,  32.1,  31.6,  43.6,  33.9,  33.5,  33.4,
 46341,  19.4,  30.9,  32.1,  31.6,  40.2,  33.6,  33.5,  33.3,
 50535,  19.4,  30.9,  32.1,  31.6,  36.3,  33.6,  33.5,  33.3,
 55109,  20.0,  30.8,  32.1,  31.6,  34.7,  33.5,  33.5,  33.1,
 60097,  20.0,  30.8,  32.1,  31.6,  33.7,  33.5,  33.5,  33.2,
 65536,  20.7,  30.3,  32.1,  31.6,  33.5,  33.5,  33.5,  33.1,
 71468,  20.0,  30.8,  32.1,  31.6,  33.4,  33.5,  33.4,  32.9,
 77936,  19.8,  30.3,  32.1,  31.6,  33.2,  33.6,  33.5,  32.8,
 84990,  20.1,  30.3,  32.1,  31.6,  32.9,  33.5,  33.4,  32.9,
 92682,  20.7,  30.8,  32.1,  31.7,  33.1,  33.5,  33.3,  32.8,
101070,  20.0,  30.6,  32.1,  31.6,  33.0,  33.0,  33.2,  32.8,
110218,  19.6,  30.8,  32.1,  31.6,  33.0,  32.8,  33.3,  32.8,
120194,  20.0,  30.7,  32.0,  31.6,  33.0,  32.7,  32.1,  32.8,
131072,  19.9,  30.8,  32.1,  31.6,  33.0,  33.1,  32.2,  32.8,
142935,  19.7,  30.7,  32.1,  31.6,  33.2,  33.4,  32.2,  32.8,
155872,  19.7,  30.7,  32.0,  31.6,  33.2,  33.4,  33.1,  32.8,
